Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
Tag2u,SP,SÃO PAULO,Varejo / Atacado,B2B2C,SaaS,2017,21-50,sbase.me/s/tag2u,Tração
Enjoy Contabilidade Digital,SP,SÃO PAULO,Finanças,B2B,SaaS,2019,1-5,sbase.me/s/enjoy-contabilidade-digital,Operação
FIDELIZAR MAIS,SP,BARUERI,E-commerce,B2B,SaaS,2017,6-10,sbase.me/s/fidelizar-mais,Tração
GAT - Get Ahead of Threats,SP,SÃO PAULO,Segurança e Defesa,B2B,SaaS,2020,11-20,sbase.me/s/gat-get-ahead-of-threats,Tração
Bten,SP,SÃO JOSÉ DOS CAMPOS,Vendas e Marketing,B2B2C,SaaS,2019,6-10,sbase.me/s/bten,Tração
Exato Digital,SP,SÃO PAULO,Big Data,B2B2C,SaaS,2010,11-20,sbase.me/s/exato-digital,Tração
Urmob.city,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2B2C,SaaS,2018,6-10,sbase.me/s/urmob-city,Tração
Kaça Falcão,SP,SÃO PAULO,Desenvolvimento de Software,B2B,Outros,2020,1-5,sbase.me/s/kaca-falcao,Operação
TutorMundi,SP,SÃO PAULO,Educação,B2B,SaaS,2017,6-10,sbase.me/s/tutormundi,Tração
DeltaT Smart monitoring,SP,SÃO PAULO,Varejo / Atacado,B2B,SaaS,2020,1-5,sbase.me/s/deltat-smart-monitoring,Operação
iPrestador,SP,SÃO PAULO,Serviços Profissionais,B2B2C,Marketplace,2017,6-10,sbase.me/s/iprestador,Tração
A lojinha 4:20,SP,LOUVEIRA,Varejo / Atacado,B2B2C,Consumer,2020,1-5,sbase.me/s/a-lojinha-4-20,Tração
Axis Mobfintech,SP,SÃO PAULO,Finanças,B2B2C,Outros,2020,6-10,sbase.me/s/axis-mobfintech,Ideação
Marcus Oliveira,SP,SÃO PAULO,Meio Ambiente,B2B2C,Marketplace,2019,11-20,sbase.me/s/marcus-oliveira,Operação
JUIT,SP,SÃO PAULO,Direito,B2C,Licenciamento,2018,1-5,sbase.me/s/juit-1601377916992,Tração
Konfere,SP,SÃO PAULO,Desenvolvimento de Software,B2B,SaaS,2019,6-10,sbase.me/s/konfere,Operação
DNA Financeiro,SP,SOROCABA,Finanças,B2B,Outros,2015,21-50,sbase.me/s/dna-financeiro,Tração
OPD Consultoria,SP,SÃO PAULO,Desenvolvimento de Software,B2B,SaaS,2017,6-10,sbase.me/s/opd-consultoria,Operação
Laceh,SP,SÃO PAULO,Seguros,B2B,Marketplace,2019,1-5,sbase.me/s/laceh,Operação
Shapp,SP,SÃO PAULO,Educação,P2P,Marketplace,2017,1-5,sbase.me/s/shapp,Operação
Caju,SP,SÃO PAULO,Recursos Humanos,B2B2C,SaaS,2019,11-20,sbase.me/s/caju,Tração
Farejeiro,SP,SÃO PAULO,Varejo / Atacado,B2B,SaaS,2019,11-20,sbase.me/s/farejeiro,Tração
Fretespot,SP,AMERICANA,Transportes,B2B,Marketplace,2018,6-10,sbase.me/s/fretespot-,Tração
Legitimvs,SP,SÃO PAULO,Direito,B2B,SaaS,2015,6-10,sbase.me/s/legitimvs,Tração
Onze,SP,SÃO PAULO,Finanças,B2B2C,Consumer,2020,21-50,sbase.me/s/onze,Operação
Vaipe,SP,SÃO PAULO,Recursos Humanos,B2B,SaaS,2016,6-10,sbase.me/s/vaipe,Tração
Layers Education,SP,SÃO CAETANO DO SUL,Educação,B2B,SaaS,2018,21-50,sbase.me/s/layers-education,Tração
GLED International Education,SP,SÃO PAULO,Educação,B2B2C,SaaS,2019,1-5,sbase.me/s/gled-international-education,Tração
Comuniverse,SP,SÃO PAULO,Educação,B2B,SaaS,2019,1-5,sbase.me/s/comuniverse,Operação
MSD Sistemas,SP,SÃO JOSÉ DOS CAMPOS,Energia,B2B,SaaS,2019,1-5,sbase.me/s/msd-sistemas,Operação
I9 Delivery,SP,ITU,Logística e Mobilidade Urbana,B2B,Consumer,2019,1-5,sbase.me/s/i9-delivery,Tração
Paluma Caterina,SP,SÃO JOSÉ DOS CAMPOS,Saúde e Bem-estar,B2B,SaaS,2018,1-5,sbase.me/s/paluma-caterina,Operação
SmartEnvios,SP,RIBEIRÃO PRETO,Logística e Mobilidade Urbana,B2B2C,SaaS,2018,21-50,sbase.me/s/smartenvios,Tração
Nick Saude,SP,SÃO JOSÉ DOS CAMPOS,Saúde e Bem-estar,B2B,SaaS,2020,1-5,sbase.me/s/nick-saude,Operação
Addere Solutions,SP,SÃO PAULO,Finanças,B2B2C,SaaS,2018,6-10,sbase.me/s/addere-solutions,Operação
Galgar,SP,SÃO JOSÉ DOS CAMPOS,Serviços Profissionais,B2B,Consumer,2020,1-5,sbase.me/s/galgar-,Tração
Click Cash,SP,SÃO PAULO,Finanças,B2C,API,2019,11-20,sbase.me/s/click-cash,Operação
Hora do Treino,SP,SÃO PAULO,Outros,B2B2C,Marketplace,2019,1-5,sbase.me/s/hora-do-treino-1597944844098,Operação
Gaugit,SP,SÃO PAULO,Hardware,B2B,Hardware,2016,1-5,sbase.me/s/gaugit,Operação
vinculo.app,SP,SÃO PAULO,Educação,B2B2C,SaaS,2019,1-5,sbase.me/s/vinculo-app,Operação
